Date,Close
2012-01-03,59265.0
2012-01-04,59365.0
2012-01-05,58546.0
2012-01-06,58600.0
2012-01-09,59083.0
2012-01-10,59806.0
2012-01-11,59962.0
2012-01-12,59921.0
2012-01-13,59147.0
2012-01-16,59956.0
2012-01-17,60646.0
2012-01-18,61723.0
2012-01-19,61927.0
2012-01-20,62312.0
2012-01-23,62386.0
2012-01-24,62486.0
2012-01-26,62953.0
2012-01-27,62904.0
2012-01-30,62770.0
2012-01-31,63072.0
2012-02-01,64567.0
2012-02-02,64593.0
2012-02-03,65217.0
2012-02-06,65224.0
2012-02-07,65917.0
2012-02-08,65831.0
2012-02-09,65530.0
2012-02-10,63998.0
2012-02-13,65692.0
2012-02-14,65039.0
2012-02-15,65368.0
2012-02-16,66142.0
2012-02-17,66204.0
2012-02-23,65820.0
2012-02-24,65943.0
2012-02-27,65241.0
2012-02-28,65959.0
2012-02-29,65812.0
2012-03-01,66810.0
2012-03-02,67782.0
2012-03-05,66964.0
2012-03-06,65114.0
2012-03-07,66017.0
2012-03-08,66908.0
2012-03-09,66704.0
2012-03-12,66385.0
2012-03-13,68394.0
2012-03-14,68257.0
2012-03-15,67749.0
2012-03-16,67684.0
2012-03-19,67730.0
2012-03-20,67296.0
2012-03-21,66860.0
2012-03-22,65828.0
2012-03-23,65813.0
2012-03-26,66685.0
2012-03-27,66037.0
2012-03-28,65079.0
2012-03-29,64872.0
2012-03-30,64511.0
2012-04-02,65216.0
2012-04-03,64284.0
2012-04-04,63529.0
2012-04-05,63691.0
2012-04-09,62923.0
2012-04-10,61738.0
2012-04-11,61293.0
2012-04-12,63058.0
2012-04-13,62106.0
2012-04-16,61955.0
2012-04-17,62699.0
2012-04-18,63010.0
2012-04-19,62618.0
2012-04-20,62494.0
2012-04-23,61539.0
2012-04-24,61971.0
2012-04-25,61750.0
2012-04-26,62198.0
2012-04-27,61691.0
2012-04-30,61820.0
2012-05-02,62424.0
2012-05-03,62104.0
2012-05-04,60821.0
2012-05-07,61220.0
2012-05-08,60365.0
2012-05-09,59786.0
2012-05-10,59702.0
2012-05-11,59445.0
2012-05-14,57540.0
2012-05-15,56238.0
2012-05-16,55888.0
2012-05-17,54038.0
2012-05-18,54513.0
2012-05-21,56590.0
2012-05-22,55039.0
2012-05-23,54619.0
2012-05-24,54063.0
2012-05-25,54463.0
2012-05-28,55213.0
2012-05-29,54633.0
2012-05-30,53798.0
2012-05-31,54490.0
2012-06-01,53403.0
2012-06-04,53417.0
2012-06-05,52481.0
2012-06-06,54156.0
2012-06-08,54430.0
2012-06-11,54001.0
2012-06-12,55049.0
2012-06-13,55651.0
2012-06-14,55352.0
